,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,2 EARN_FOR_COMMON,Management - Balancesheet Net Debt To Equity - Average,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),Strategy Filter EBITDA CAGR, Debt To Equity Avg,Nasdaq Composite CCMP Index Last Price,Topix Japan TPX Index Last Price,Japan OEJPDGBO Index Last Price,China CNMSM2 Index Last Price,1D Japanese Yen USDJPY Curncy Last Price,1D Swiss Franc USDCHF Curncy Last Price,1D Indian Rupee USDINR Curncy Last Price,1D Crude Palm Oil KO3 Comdty Last Price,1D Hibor HIHD03M Index Last Price,1D ECB ECMSM2 Index Last Price,1D S&P 500 SPX Index BEst EPS,1D S&P500 SPX Index BEst P/E Ratio,1D  SHASHR Index PE_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PX_TO_SALES_RATIO,2D EU EUCCEMU Index Last Price,2D China CNCPIYOY Index Last Price,2D Swiss Franc USDCHF Curncy Last Price,2D Hong Kong China enterprises index HSCEI Index Last Price,2D Korea KOSPI Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D US M2 Index Last Price,2D S&P 500 SPX Index Index Est Earnings Next Year,2D S&P500 SPX Index BEst P/E Ratio,2D  SHASHR Index PE_RATIO,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SPX Index PX_LAST,2D  SPX Index IDX_EST_EARNINGS_NXT_YR
30,MDT UN Equity,1,0.03994797826979013,0.1998699033616365,0.05234320099228317,57.57575757575758,0.19868045222021702,0.5886071671832646,0.04813630987040593,69.76744186046511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015422692966118102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,MMM UN Equity,1,0.2158328098793928,0.4645780987943717,0.038288247660661745,74.50980392156863,0.04592790353063103,0.24866170971543108,0.053365851322937,68.18181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02684485497300476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,MSFT UW Equity,3,0.3561307900200704,0.5967669478281035,0.06131192672761672,66.0,0.3372307187918524,0.594119098821974,0.07202416965760972,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04300492815684888,0.0536649877954233,-0.023281296211494988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NEE UN Equity,1,0.12263300816812839,0.35018996011897335,0.04180745747646861,62.0,-0.27438465639377085,0.15334823903039868,0.04736901123797285,54.54545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02052506390882728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NKE UN Equity,2,0.16218608353241382,0.40272333373224595,0.05674118421459005,65.3061224489796,-0.06411096450288367,0.5191250732762519,0.07901284545641665,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019579546757490525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02130960148178184,0.0
35,NVDA UW Equity,2,0.28534578949400424,0.5341776759599792,0.12230267313928297,67.14285714285714,0.22014897736507344,0.6244766756225053,0.1823937784498386,77.41935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07394961318738143,-0.05233451765590806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,PFE UN Equity,2,0.22289666946350895,0.47211933815880547,0.050489038854258046,70.83333333333334,0.08156590163766742,0.30166800107358455,0.053000423246818876,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030642410139495424,0.027897608079372558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,QCOM UW Equity,2,0.19468393515058036,0.4412300252142644,0.11269208888431609,62.65060240963856,-0.6396785945457562,0.24675139763148146,0.10551737216259434,58.333333333333336,0.0,0.0,0.0,0.0,0.03762722532334166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04882426295640023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,SBUX UW Equity,2,0.15554408501484562,0.3943907770407993,0.08160980333018875,66.3265306122449,0.05034801670143496,0.38712602671474317,0.07526836747741698,52.38095238095239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407975620664789,0.050164087957580955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,SLB UN Equity,2,0.30584395793900576,0.5530316066365516,0.06387160617132949,70.78651685393258,-0.009193521876836197,0.34853013544489214,0.06901088170322736,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028138203193520357,0.050554575320830644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,SYK UN Equity,2,0.36413228860457936,0.6034337483142449,0.05638773993286974,67.74193548387096,-0.07326930961055855,0.2479907204719569,0.07400961566882254,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036561690751171806,0.0589611281594543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,T UN Equity,1,0.04791314130710245,0.21889070630591528,0.05576555570396443,58.24175824175825,0.24074689383599612,0.6597723996230688,0.04913453494189389,69.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016506696804614786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,TJX UN Equity,3,0.22423098124351937,0.4735303382503803,0.061564088997912325,64.70588235294117,0.20422714657531305,0.4939227574050034,0.05918182832838969,70.45454545454545,-0.10553412902760492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02344498907778515,0.04469246072926274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,TMO UN Equity,2,0.2641675197284332,0.5139722947089984,0.05439007056578838,77.90697674418605,0.21731017114485462,0.48822096010053,0.06872509906688502,67.56756756756756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023823997281851937,0.04630788686932488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,UNH UN Equity,3,0.21428307775249245,0.46290720209615654,0.06622587416204445,66.0,-0.02101802095259231,0.28281205763510664,0.06115622115711017,56.81818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03921895251369356,0.0,0.0,-0.02842174221963394,0.0,0.0,0.0,0.0,0.02781146397651652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,UNP UN Equity,2,0.2811923561707025,0.5302757359814819,0.056717040352912626,64.83516483516483,-0.07839164302494805,0.2213570355479421,0.049886771341537586,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943061221534563,0.0,0.0,0.03289080870622582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,UPS UN Equity,2,0.36102286077229917,0.6008517793701698,0.03410230218738719,62.0253164556962,0.23694816247864914,0.5045751669669103,0.04613450620050673,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021012739108580133,0.036336152808159945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
